ID_Pelanggan,Usia_Pelanggan,Jenis_kelamin,Tanggungan,Pendidikan,Status_Kawin,Kode_Kota,Punya_Kendaraan,Punya_Rumah,Pinjaman,Kontak,Pekerjaan,Penghasilan
708152358,46,M,3,Graduate,Married,NY,yes,yes,no,cellular,Blue-collar,110014
708153558,44,M,4,Graduate,Unknown,IA,no,no,no,telephone,Businessman,109186
708154833,40,F,3,Graduate,Married,NJ,yes,yes,no,cellular,Govt,25835
708155733,44,F,3,Graduate,Married,CA,yes,yes,no,unknown,Selfemployeed,11345
708158133,51,F,2,Uneducated,Single,NY,yes,no,no,cellular,Selfemployeed,23215
708160008,60,M,0,Graduate,Single,CA,no,no,no,cellular,Businessman,103581
708161133,49,F,2,Unknown,Single,TX,yes,yes,no,cellular,Selfemployeed,44555
708162558,43,F,5,Graduate,Married,TX,no,yes,no,cellular,Selfemployeed,12381
708163758,54,M,1,Graduate,Single,NY,no,yes,no,unknown,White-collar,123809
708170508,32,F,0,Graduate,Married,FL,yes,no,no,unknown,Selfemployeed,14975
708171858,52,F,3,Graduate,Married,NY,no,yes,no,unknown,Businessman,30586
708173433,43,F,1,Graduate,Single,CA,no,no,no,unknown,Retirees,28367
708174708,49,F,0,Graduate,Single,NY,yes,no,no,cellular,White-collar,15355
708176208,49,F,1,Uneducated,Married,CA,no,no,no,cellular,Govt,53428
708177333,42,F,3,Graduate,Single,CA,yes,yes,no,unknown,Selfemployeed,7865
708178608,48,F,3,Unknown,Unknown,FL,no,no,no,cellular,Blue-collar,54304
708185208,47,F,2,Doctorate,Single,CA,no,yes,no,cellular,Selfemployeed,20100
708186933,47,F,4,Unknown,Unknown,CA,no,yes,no,cellular,Blue-collar,24295
708190158,47,F,3,Unknown,Single,NY,no,yes,no,unknown,Govt,32103
708193008,53,F,2,Graduate,Married,CA,no,no,yes,telephone,Selfemployeed,14975
708195633,47,F,4,High School,Married,TX,yes,yes,no,unknown,Selfemployeed,27517
708197358,42,M,1,Uneducated,Married,AK,no,no,yes,cellular,Govt,107887
708204033,53,M,2,Graduate,Married,CA,yes,no,yes,cellular,Selfemployeed,51233
708205083,54,M,2,Graduate,Married,NJ,no,no,no,cellular,Blue-collar,79516
708207783,48,M,1,Graduate,Married,NY,no,yes,no,cellular,Blue-collar,73959
708208758,42,F,3,Doctorate,Single,FL,yes,yes,no,cellular,Blue-collar,23377
708211383,44,F,3,Uneducated,Single,TX,no,yes,no,cellular,Retirees,44883
708212658,40,F,3,High School,Single,TX,no,no,yes,unknown,Retirees,16041
708216108,58,F,1,Unknown,Married,NY,no,yes,no,cellular,Businessman,24221
708217758,57,F,1,Graduate,Single,CA,no,yes,no,cellular,Selfemployeed,14975
708219108,38,M,2,Graduate,Married,CA,yes,no,no,cellular,Blue-collar,102561
708219858,53,F,1,Graduate,Unknown,CA,no,yes,no,cellular,White-collar,56697
708222558,60,F,1,Uneducated,Single,NJ,no,no,no,cellular,Retirees,53022
708223383,51,F,3,Uneducated,Married,NY,yes,no,yes,cellular,Businessman,32013
708224133,39,M,4,Graduate,Single,NJ,yes,no,no,cellular,Selfemployeed,62192
708225483,38,F,2,Post-Graduate,Married,CA,yes,yes,no,cellular,Selfemployeed,55061
708226833,50,M,2,High School,Married,NY,no,no,no,unknown,Businessman,127461
708229308,37,M,1,Uneducated,Single,NY,yes,no,no,cellular,Businessman,100839
708231183,39,F,1,Uneducated,Single,CA,no,no,no,unknown,Retirees,31127
708234558,62,M,0,High School,Single,TX,no,yes,no,cellular,Selfemployeed,67827
708238833,38,F,2,High School,Married,NY,no,yes,no,cellular,Blue-collar,12994
708241233,38,F,1,Graduate,Married,CA,no,yes,no,unknown,Selfemployeed,5225
708242283,44,F,1,Unknown,Single,TX,no,yes,yes,cellular,Govt,35755
708243483,60,F,2,High School,Single,TX,yes,no,no,cellular,Retirees,24156
708244458,26,M,0,Graduate,Single,NY,no,yes,no,cellular,White-collar,37888
708245808,41,M,0,High School,Unknown,FL,yes,yes,no,telephone,Businessman,145701
708248358,61,F,2,Graduate,Married,CA,yes,no,no,unknown,Businessman,186885
708249708,39,F,2,Graduate,Single,CA,yes,no,no,cellular,Selfemployeed,14975
708252108,50,F,1,Graduate,Single,FL,no,yes,no,cellular,Selfemployeed,49229
708253458,45,M,2,Unknown,Married,CA,no,yes,no,cellular,Govt,81622
708254733,56,M,2,Graduate,Married,CA,no,no,no,unknown,Blue-collar,95152
708255633,47,F,3,Graduate,Single,FL,yes,yes,no,telephone,Blue-collar,35666
708260208,48,F,3,Graduate,Married,TX,no,yes,no,cellular,White-collar,57686
708266883,37,F,2,Graduate,Married,TX,no,yes,yes,cellular,Selfemployeed,25423
708267858,33,F,4,High School,Single,NJ,no,no,no,cellular,Selfemployeed,21500
708269583,41,F,1,High School,Single,NY,no,no,no,cellular,White-collar,47653
708271833,48,F,3,Graduate,Married,CA,no,yes,yes,unknown,Govt,37680
708272808,41,F,2,Unknown,Single,FL,yes,yes,no,cellular,White-collar,38560
708273858,39,F,1,Graduate,Single,NY,no,no,no,cellular,White-collar,41203
708276183,54,F,2,Graduate,Married,TX,no,no,no,cellular,Selfemployeed,14975
708281433,40,F,3,Uneducated,Single,NY,yes,no,no,cellular,Businessman,43626
708285108,44,M,4,Unknown,Married,TX,yes,no,no,cellular,White-collar,131861
708286683,38,M,1,Graduate,Unknown,FL,yes,no,no,cellular,White-collar,83306
708288108,29,M,0,Graduate,Single,NJ,no,no,no,cellular,Selfemployeed,1250
708290208,63,F,2,Graduate,Single,NY,yes,no,no,cellular,White-collar,34835
708291633,54,M,1,Unknown,Single,FL,no,no,no,cellular,Businessman,92894
708292833,41,F,2,Graduate,Married,CA,yes,no,no,cellular,Govt,32170
708295533,55,M,2,Unknown,Single,FL,no,no,no,cellular,Blue-collar,10119
708296883,31,F,1,Graduate,Single,CA,no,yes,yes,unknown,Selfemployeed,8250
708298233,44,F,4,High School,Married,NJ,no,no,no,unknown,Blue-collar,15092
708300483,46,F,4,Doctorate,Married,NY,no,yes,no,cellular,Selfemployeed,1250
708301683,40,M,4,High School,Unknown,NY,no,yes,no,cellular,Govt,110415
708303108,36,M,3,High School,Married,NJ,yes,yes,no,cellular,Govt,86574
708307533,37,M,4,Post-Graduate,Married,NY,yes,no,no,cellular,Govt,51165
708313608,59,F,1,Graduate,Married,NJ,no,no,no,cellular,Blue-collar,21659
708314808,49,F,3,Uneducated,Single,TX,no,yes,no,cellular,Selfemployeed,14975
708316008,43,F,5,Unknown,Single,CA,no,no,no,cellular,Selfemployeed,15806
708319908,56,M,1,Graduate,Single,TX,yes,yes,no,unknown,Govt,116230
708323208,45,F,5,Doctorate,Married,TX,no,no,yes,unknown,Businessman,24058
708324483,63,M,0,Unknown,Unknown,CA,no,no,yes,cellular,Selfemployeed,61485
708330858,51,F,2,Graduate,Married,TX,no,no,no,unknown,Selfemployeed,1250
708331758,42,F,3,High School,Single,NY,no,no,yes,telephone,Businessman,41112
708332808,49,F,4,Uneducated,Married,TX,no,no,no,cellular,Businessman,166923
708334158,51,F,1,Uneducated,Single,NY,yes,yes,no,unknown,White-collar,34512
708337683,27,M,0,Graduate,Married,MI,no,no,yes,cellular,Selfemployeed,42779
708338958,42,M,2,High School,Unknown,FL,no,no,no,cellular,Blue-collar,42334
708340758,53,M,3,Graduate,Single,NY,yes,no,no,cellular,Businessman,111220
708341958,48,M,4,Unknown,Married,TX,no,yes,no,cellular,Blue-collar,64665
708344358,44,F,4,High School,Single,CA,no,yes,yes,cellular,Selfemployeed,11638
708347583,39,F,0,Graduate,Married,CA,no,yes,no,unknown,Blue-collar,16112
708354858,41,M,2,Graduate,Married,CA,no,no,no,telephone,Businessman,111730
708355683,46,F,4,Unknown,Single,NJ,no,no,yes,unknown,Govt,34013
708357183,38,F,4,Doctorate,Married,CA,no,no,no,unknown,Businessman,38164
708358683,56,F,1,Graduate,Married,TX,yes,no,no,cellular,Selfemployeed,14975
708360108,40,M,2,Uneducated,Single,TX,no,yes,yes,cellular,Govt,82412
708361833,55,F,3,Graduate,Single,CA,no,yes,yes,unknown,White-collar,39861
708367908,42,M,4,Graduate,Single,TX,no,no,no,cellular,Blue-collar,60037
708369633,47,M,2,Uneducated,Married,NY,yes,no,no,telephone,Govt,101602
708371733,50,M,1,High School,Unknown,TX,no,yes,no,cellular,Blue-collar,86281
708373083,41,F,3,High School,Married,TX,yes,no,no,cellular,Blue-collar,20495
708375858,45,F,4,Post-Graduate,Single,CA,no,no,no,cellular,Govt,57624
708376983,43,F,4,Graduate,Unknown,TX,no,yes,no,cellular,Govt,21828
708378108,42,M,2,Uneducated,Single,NJ,yes,no,no,cellular,White-collar,71834
708382083,35,F,1,Unknown,Married,TX,no,no,no,cellular,Selfemployeed,30259
708384033,45,F,1,High School,Unknown,CA,no,no,no,unknown,Blue-collar,28037
708385533,54,M,1,Post-Graduate,Unknown,NY,no,yes,no,cellular,Govt,119059
708386958,42,F,5,Graduate,Married,GA,yes,no,no,cellular,Blue-collar,19006
708387933,37,M,3,High School,Single,TX,no,yes,yes,unknown,Businessman,165306
708390633,49,M,2,High School,Single,NY,no,no,no,cellular,Retirees,53965
708393633,36,M,3,Unknown,Single,CA,yes,no,no,cellular,Retirees,71640
708394908,55,F,3,Post-Graduate,Single,TX,yes,yes,no,cellular,Selfemployeed,45818
708396033,44,M,3,Unknown,Single,CA,no,no,no,cellular,White-collar,119585
708397008,45,F,3,High School,Married,CA,no,no,no,telephone,White-collar,57821
708398283,41,F,3,High School,Unknown,TX,no,yes,no,unknown,Govt,12775
708399858,45,M,3,Unknown,Married,CA,no,yes,no,cellular,White-collar,76565
708402333,57,M,3,Unknown,Single,NY,yes,yes,yes,telephone,Govt,78127
708403308,48,M,3,Uneducated,Single,CA,no,no,no,cellular,Retirees,60111
708404883,49,F,3,Unknown,Single,NY,no,no,no,unknown,Blue-collar,32229
708406083,57,M,2,Unknown,Single,CA,no,yes,yes,unknown,Blue-collar,95876
708412758,62,F,1,Unknown,Married,CA,yes,yes,no,cellular,White-collar,23378
708414033,45,F,3,Graduate,Single,NY,no,yes,no,cellular,Blue-collar,41115
708416433,53,F,4,Unknown,Single,NY,no,yes,no,cellular,Blue-collar,28601
708419733,44,M,3,Graduate,Married,TX,no,yes,no,cellular,Blue-collar,76246
708421833,54,F,2,High School,Single,NY,no,no,no,cellular,Selfemployeed,6550
708423933,48,F,1,Doctorate,Married,IA,no,no,no,cellular,Businessman,35491
708426483,60,F,1,Uneducated,Married,CT,yes,yes,no,cellular,Businessman,38451
708427908,33,M,3,Graduate,Married,FL,no,no,no,cellular,Blue-collar,72412
708428958,57,M,3,Graduate,Single,FL,yes,no,no,cellular,White-collar,118175
708431433,41,F,2,Graduate,Married,CA,no,no,no,telephone,Blue-collar,14633
708433683,62,M,1,Graduate,Single,FL,no,no,no,cellular,Govt,61002
708434733,52,F,2,Unknown,Single,FL,no,no,no,cellular,Blue-collar,10627
708438033,41,M,4,High School,Single,TX,no,no,yes,telephone,Selfemployeed,30828
708442158,42,F,4,Graduate,Married,CA,yes,no,no,cellular,Businessman,42377
708445608,44,F,4,Uneducated,Married,FL,no,no,no,cellular,Blue-collar,20389
708446808,51,F,3,High School,Single,NY,no,yes,no,cellular,Blue-collar,20281
708447858,40,F,2,High School,Married,MA,yes,yes,no,cellular,Businessman,200276
708450033,38,M,2,Unknown,Married,CA,yes,no,no,cellular,Businessman,97684
708451233,26,F,0,Graduate,Single,FL,yes,no,no,cellular,Retirees,40785
708453408,42,F,3,Graduate,Married,NY,no,yes,no,cellular,Businessman,41039
708455883,33,F,0,Graduate,Single,TX,no,yes,no,cellular,Selfemployeed,6550
708459633,45,F,5,Uneducated,Married,NY,no,yes,yes,unknown,Selfemployeed,14975
708462258,54,F,4,Graduate,Married,NJ,no,no,no,cellular,Businessman,235349
708469533,57,F,3,Uneducated,Single,FL,no,yes,no,unknown,Selfemployeed,38273
708472008,47,M,2,Graduate,Married,CA,no,yes,yes,cellular,White-collar,105522
708473133,44,M,5,Unknown,Married,CA,yes,no,no,cellular,Govt,69787
708474333,50,M,4,Graduate,Married,TX,no,no,no,unknown,Blue-collar,108894
708476808,55,F,1,Doctorate,Married,CA,yes,yes,no,cellular,Selfemployeed,5525
708478233,45,F,2,Uneducated,Married,NY,no,yes,no,unknown,White-collar,58670
708480333,65,F,0,Uneducated,Single,FL,no,no,no,cellular,Govt,23891
708482658,51,M,2,Graduate,Married,TX,yes,no,yes,telephone,Businessman,219668
708483708,39,M,2,Unknown,Married,NJ,yes,no,no,cellular,Blue-collar,58122
708486033,59,F,0,Doctorate,Single,CA,yes,no,no,cellular,Retirees,15671
708488208,45,F,3,Uneducated,Married,TX,yes,yes,yes,cellular,Businessman,23898
708489258,56,F,5,Doctorate,Single,TX,yes,no,no,unknown,Retirees,38817
708491508,46,F,3,Graduate,Married,NY,no,yes,no,cellular,Businessman,43716
708492558,56,F,2,Graduate,Single,CA,no,no,no,cellular,Selfemployeed,6550
708494583,48,F,5,Post-Graduate,Married,CA,no,no,no,cellular,Selfemployeed,41132
708496833,33,M,1,Graduate,Single,CA,yes,yes,no,cellular,Govt,117520
708498033,45,F,3,High School,Married,FL,no,yes,no,cellular,White-collar,32495
708499608,43,F,4,Graduate,Single,NY,no,no,no,cellular,Businessman,48566
708500883,40,M,4,Unknown,Married,NY,no,yes,no,cellular,Businessman,113841
708501783,35,F,2,High School,Single,FL,yes,no,no,cellular,Blue-collar,17340
708502908,48,F,2,Graduate,Married,NJ,yes,no,no,cellular,Blue-collar,45372
708504783,47,F,3,Uneducated,Married,IL,no,yes,no,unknown,Retirees,37815
708506508,52,M,1,Uneducated,Single,VA,no,no,yes,cellular,Selfemployeed,83535
708507483,55,M,4,Unknown,Single,NY,no,no,no,cellular,Blue-collar,78913
708508758,34,F,4,Uneducated,Single,TX,yes,no,no,cellular,Selfemployeed,1250
708510858,55,F,2,High School,Single,CA,no,no,no,unknown,Businessman,214404
708511983,48,M,3,Graduate,Single,CA,yes,yes,no,cellular,Retirees,45977
708513183,40,F,5,High School,Single,CA,no,no,no,unknown,Selfemployeed,34616
708514383,55,F,4,Uneducated,Married,FL,no,yes,no,cellular,White-collar,57484
708515358,45,F,4,High School,Married,TX,no,yes,no,cellular,Businessman,53906
708516558,42,F,4,Graduate,Married,TX,no,yes,no,cellular,Blue-collar,52148
708519108,47,F,2,Unknown,Single,CA,yes,yes,no,unknown,Businessman,20597
708522033,36,F,1,Uneducated,Single,CA,no,yes,no,cellular,Businessman,198343
708525108,34,M,3,High School,Married,FL,no,no,no,cellular,Govt,50792
708528483,44,F,2,Graduate,Unknown,FL,no,no,no,cellular,Blue-collar,13010
708532308,40,F,3,Unknown,Married,CA,yes,yes,no,cellular,Govt,34149
708534033,58,M,1,Unknown,Married,NJ,no,yes,yes,cellular,Blue-collar,75578
708535158,33,M,1,Graduate,Single,IA,no,no,no,telephone,White-collar,114717
708536283,36,F,2,Graduate,Single,NY,no,no,no,cellular,Govt,31226
708538608,50,F,2,Uneducated,Married,NJ,no,no,yes,telephone,Retirees,48968
708539583,51,F,1,Post-Graduate,Single,NY,no,yes,no,cellular,Govt,46675
708542283,38,M,1,Graduate,Single,CA,yes,no,no,cellular,Selfemployeed,60253
708543258,55,F,2,Doctorate,Single,CA,yes,yes,no,cellular,Businessman,20631
708545058,59,M,0,High School,Single,NY,yes,no,no,cellular,Govt,94345
708549033,45,M,4,High School,Married,CA,no,no,no,unknown,Retirees,90458
708551508,41,M,3,Uneducated,Married,CA,no,no,no,cellular,Selfemployeed,87971
708553008,49,M,4,Doctorate,Married,NJ,yes,no,no,cellular,Govt,74928
708555633,51,M,3,Uneducated,Married,CA,no,no,no,unknown,Businessman,203890
708557358,44,F,4,Graduate,Single,NY,no,no,yes,cellular,Businessman,18357
708558408,48,M,3,Unknown,Married,NY,no,no,no,cellular,Selfemployeed,41925
708559533,43,M,1,High School,Married,TX,yes,no,yes,cellular,Businessman,62768
708560733,37,M,3,High School,Single,CA,no,yes,no,cellular,Govt,75192
708563433,40,F,2,Uneducated,Married,FL,no,no,no,unknown,Selfemployeed,14975
708564858,54,M,2,Unknown,Married,FL,no,yes,no,unknown,White-collar,118629
708568983,53,M,3,Unknown,Married,FL,no,yes,no,cellular,Govt,111225
708572658,51,F,3,Graduate,Married,CA,yes,no,no,cellular,Businessman,196200
708573933,50,F,3,Post-Graduate,Single,IL,yes,yes,no,cellular,Businessman,183118
708575058,50,F,0,Post-Graduate,Married,TX,yes,yes,no,cellular,Businessman,36188
708577308,58,M,0,Graduate,Single,CA,no,no,no,cellular,Selfemployeed,14975
708579633,51,F,1,Doctorate,Married,TX,no,yes,no,cellular,Blue-collar,13704
708580908,41,F,2,Graduate,Married,TX,yes,no,yes,cellular,Selfemployeed,12686
708582858,47,F,1,Doctorate,Married,NY,yes,no,no,cellular,Blue-collar,33801
708584208,44,F,2,Graduate,Single,TX,no,yes,no,cellular,Retirees,26226
708585933,37,M,2,Unknown,Single,NY,no,yes,no,cellular,Blue-collar,55576
708588408,51,M,3,High School,Married,CA,yes,yes,no,cellular,Businessman,61579
708590658,39,F,4,High School,Single,CA,yes,yes,no,cellular,Selfemployeed,14975
708593883,35,F,0,Doctorate,Married,TX,no,yes,no,unknown,White-collar,16316
708595158,45,F,4,Uneducated,Married,CA,yes,yes,no,cellular,Govt,26447
708596283,56,F,3,Graduate,Single,FL,yes,yes,no,unknown,Selfemployeed,32924
708597558,49,M,5,Doctorate,Single,CA,no,yes,yes,cellular,Blue-collar,45984
708600033,55,M,2,Unknown,Single,NY,no,yes,no,unknown,Businessman,87531
708602283,47,F,4,Unknown,Married,CA,yes,no,no,cellular,Govt,45701
708606633,65,M,0,Graduate,Single,CA,no,yes,no,cellular,White-collar,18114
708611733,37,M,3,Doctorate,Single,FL,no,yes,yes,cellular,Govt,73096
708614058,40,M,3,Unknown,Single,NJ,no,no,no,cellular,Govt,44044
708615183,48,M,3,Graduate,Married,NJ,no,yes,no,cellular,Govt,68693
708618933,36,F,4,Graduate,Single,CA,yes,no,no,unknown,Govt,35767
708620283,48,F,2,Graduate,Single,NY,yes,yes,no,unknown,White-collar,23554
708621408,47,F,3,High School,Single,NY,yes,yes,no,cellular,Govt,52557
708623283,31,F,0,Graduate,Single,NY,yes,no,no,unknown,Blue-collar,21274
708626058,53,M,3,Unknown,Married,NJ,no,no,no,cellular,Govt,50213
708633783,33,F,3,Graduate,Married,FL,no,yes,no,cellular,Blue-collar,16244
708635058,41,M,3,Graduate,Single,CA,no,no,no,cellular,Govt,78702
708637758,27,F,1,Unknown,Single,MI,no,no,no,cellular,White-collar,38269
708642708,28,M,0,Post-Graduate,Married,NJ,yes,no,no,cellular,Selfemployeed,14975
708644208,40,F,1,Uneducated,Married,CA,no,no,no,telephone,Retirees,36638
708646233,35,F,1,Uneducated,Married,NJ,no,no,no,cellular,Blue-collar,39538
708649683,51,F,3,Doctorate,Married,CA,yes,yes,no,unknown,Businessman,214064
708651933,56,F,1,Graduate,Single,CA,yes,yes,no,unknown,White-collar,25413
708652908,42,M,3,Uneducated,Single,TX,no,no,no,cellular,White-collar,65425
708653958,60,F,1,High School,Single,TX,yes,yes,yes,unknown,Businessman,30594
708654933,27,F,1,High School,Single,FL,no,yes,no,unknown,White-collar,20322
708655983,42,F,2,Graduate,Unknown,TX,yes,yes,no,cellular,Blue-collar,12264
708657033,38,F,1,Unknown,Married,NJ,yes,no,no,cellular,White-collar,43330
708660408,57,F,1,Graduate,Married,TX,no,no,no,unknown,Businessman,27897
708662583,53,M,1,Graduate,Single,NJ,no,no,no,unknown,Businessman,113458
708664008,39,F,0,High School,Single,CA,no,no,no,telephone,Selfemployeed,10286
708665133,48,F,3,High School,Single,NY,yes,no,no,cellular,Businessman,47309
708666258,49,F,4,Graduate,Married,CA,no,no,no,unknown,Blue-collar,13305
708668283,54,F,1,High School,Single,FL,no,yes,no,telephone,Blue-collar,16829
708669408,32,M,2,High School,Married,CA,yes,yes,yes,cellular,Retirees,72173
708670608,49,M,3,Doctorate,Married,FL,no,yes,no,cellular,Govt,94093
708671733,51,M,2,Doctorate,Single,NY,no,yes,no,cellular,Blue-collar,50004
708672708,43,F,5,Uneducated,Married,CA,yes,yes,no,cellular,Businessman,46921
708679383,53,F,3,Graduate,Married,NY,yes,no,no,unknown,White-collar,15566
708680583,50,M,1,Uneducated,Married,FL,yes,yes,no,cellular,Businessman,86542
708681708,49,F,4,Uneducated,Married,NY,yes,no,no,cellular,Selfemployeed,19558
708682908,42,M,2,Graduate,Married,TX,no,yes,no,cellular,White-collar,115771
708684108,48,F,3,Uneducated,Married,NY,yes,no,no,cellular,Retirees,23705
708687483,47,F,3,Graduate,Single,CA,yes,yes,yes,cellular,Selfemployeed,14975
708688608,48,F,3,Post-Graduate,Single,TX,no,yes,no,unknown,Selfemployeed,14975
708689958,31,M,1,Post-Graduate,Married,FL,yes,yes,no,cellular,White-collar,76589
708692583,43,F,1,High School,Married,FL,yes,yes,no,telephone,Blue-collar,25474
708693558,51,M,2,High School,Married,CA,yes,yes,no,cellular,Govt,102868
708694983,54,F,1,Graduate,Single,NY,yes,no,no,cellular,Businessman,183156
708697983,46,M,0,Graduate,Single,TX,no,yes,no,unknown,White-collar,116731
708699108,46,M,3,Graduate,Married,NY,no,no,no,cellular,Blue-collar,83739
708701358,37,M,3,High School,Married,NJ,yes,no,no,cellular,Businessman,47266
708702258,41,F,1,Graduate,Married,FL,no,no,no,cellular,White-collar,20731
708703308,40,F,3,Graduate,Single,TX,yes,no,no,cellular,Govt,23108
708704433,52,F,1,Uneducated,Single,TX,no,yes,no,cellular,White-collar,32691
708705783,50,F,3,Uneducated,Married,NY,no,no,no,cellular,White-collar,30977
708706833,37,F,2,High School,Single,FL,yes,no,no,cellular,Selfemployeed,28042
708707808,47,F,3,Graduate,Married,CA,yes,no,yes,cellular,Blue-collar,37378
708708858,32,F,0,Uneducated,Married,TX,yes,yes,no,cellular,Blue-collar,29521
708710283,49,F,2,High School,Single,MA,no,no,no,cellular,Businessman,49321
708711483,26,F,0,Unknown,Single,MI,no,no,no,cellular,Selfemployeed,14975
708712833,38,M,5,Graduate,Single,FL,no,no,no,cellular,Govt,64708
708714108,38,F,3,Post-Graduate,Unknown,CA,no,no,no,cellular,White-collar,17936
708720558,57,M,1,High School,Married,NY,yes,no,no,telephone,Govt,41858
708721533,39,M,1,High School,Married,FL,yes,no,no,cellular,White-collar,124810
708722583,44,F,4,Graduate,Single,TX,no,no,yes,cellular,Blue-collar,34283
708723858,45,F,0,Graduate,Single,FL,yes,no,no,cellular,Selfemployeed,43493
708724908,38,F,3,Unknown,Married,FL,no,yes,no,cellular,Govt,50635
708726708,47,F,4,Uneducated,Single,UT,no,no,no,cellular,Businessman,23265
708727983,58,F,0,Doctorate,Single,CA,yes,no,no,cellular,Blue-collar,34410
708731658,31,F,0,Graduate,Married,NY,no,yes,no,cellular,Selfemployeed,14975
708733983,49,F,2,High School,Single,CA,no,yes,no,unknown,Blue-collar,21900
708735183,51,F,2,Uneducated,Married,NY,yes,no,yes,cellular,Blue-collar,24977
708736608,40,F,4,Unknown,Married,IL,no,yes,yes,cellular,Businessman,21586
708740808,33,F,3,Graduate,Single,FL,yes,yes,no,cellular,Blue-collar,33749
708741633,44,F,3,Graduate,Single,TX,no,yes,no,unknown,Retirees,15508
708744933,43,F,4,Graduate,Single,NY,no,yes,no,unknown,Govt,17205
708745983,51,M,2,High School,Married,NY,no,no,no,cellular,Businessman,74175
708747708,45,F,3,Graduate,Single,CA,no,yes,yes,cellular,Retirees,28863
708748833,46,M,2,Graduate,Married,TX,no,no,no,telephone,Businessman,117419
708753633,42,M,1,Graduate,Unknown,NY,no,no,no,cellular,Blue-collar,63794
708754833,51,M,3,Unknown,Married,NY,yes,no,no,cellular,Govt,69537
708757233,43,F,3,Graduate,Single,NY,no,no,no,unknown,White-collar,40618
708758658,51,M,2,Graduate,Married,NY,no,yes,no,cellular,Businessman,45996
708759408,48,F,3,Post-Graduate,Unknown,NY,no,no,no,cellular,Businessman,201292
708760458,45,F,3,Doctorate,Married,TX,no,no,yes,cellular,Blue-collar,40495
708761733,54,M,5,Graduate,Married,NY,no,yes,no,telephone,Retirees,61406
708765933,54,M,4,High School,Single,CA,no,yes,no,telephone,White-collar,82220
708768258,47,M,3,Unknown,Married,FL,yes,no,no,cellular,White-collar,73891
708770883,49,M,4,Post-Graduate,Single,TX,yes,yes,no,cellular,Businessman,209698
708772308,37,F,3,High School,Single,NY,yes,no,no,unknown,Blue-collar,14434
708773583,42,F,3,Graduate,Single,MA,no,no,no,cellular,Selfemployeed,46820
708774708,41,M,2,Uneducated,Single,TX,yes,yes,no,cellular,Selfemployeed,43782
708776658,46,M,2,Post-Graduate,Single,HI,yes,no,no,cellular,Govt,62818
708780783,44,M,5,Graduate,Single,CA,no,no,no,cellular,Blue-collar,76257
708784083,43,F,3,Graduate,Married,CA,yes,no,yes,cellular,Selfemployeed,57111
708784908,54,M,4,Unknown,Married,CA,no,no,no,telephone,White-collar,62468
708788583,52,F,2,Post-Graduate,Single,NY,no,yes,no,unknown,Selfemployeed,14975
